Cmpd Label,Smiles,Energy(eV)
5iv,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1ccc(cc1)N(=O)=O,3.167
5iiiv,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1ccc(cc1)N(=O)=O,3.1507
5ivv,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1ccc(cc1)N(=O)=O,3.4963
5iw,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1ccc(cn1)N(=O)=O,3.0466
5iiiw,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1ccc(cn1)N(=O)=O,3.0344
5ivw,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1ccc(cn1)N(=O)=O,3.1017
5ix,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1ccc(N(=O)=O)nc1,3.1345
5iiix,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1ccc(N(=O)=O)nc1,3.1212
5ivx,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1ccc(N(=O)=O)nc1,3.1866
5iy,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1cnc(N(=O)=O)nc1,3.1806
5iiiy,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1cnc(N(=O)=O)nc1,3.1705
5ivy,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1cnc(N(=O)=O)nc1,3.2421
